Original Name,Matched Name,Spotify ID,Match Type,Popularity,Followers
JEV,JEV,6StZbL9v3UpuaMwIoq8fyW,c,,
Jigitz,jigitz,7sfn5Z6ItzDkOF9cYzxWPZ,exact,56,21642
Joe P,Joe P,3pIwImfumJioKb0zHHP61x,exact,48,138633
Joey Valence & Brae,Joey Valence & Brae,1q4618qKswelCGLoanFKQh,c,65,591857
,,,,,
JPEGMAFIA,JPEGMAFIA,6yJ6QQ3Y5l0s0tn7b0arrO,exact,69,964866
Julie,julie,3VNzWLePg9jTvQ2ximYOzW,exact,56,345472
Junior Varsity,Junior Varsity,27tsCOGutD6wmFnv4eKWMp,exact,48,36266
Kaicrewsade,Kaicrewsade,4WgDm2J3jztBZSc1S0lMsx,yes,30,3973
Katseye,KATSEYE,3c0gDdb9lhnHGFtP4prQpn,exact,69,1270679
Kenny Mason,Kenny Mason,4mwdnO2jZrMmMVrjcHsZBv,exact,59,207469
Kickflip,KickFlip,6F4yXjmhQBqo6HVr6K234k,exact,54,176017
Knock2,Knock2,6mmSS7itNWKbapgG2eZbIg,exact,63,137204
Korn,Korn,3RNrq3jvMZxD9ZyoOZbQOD,exact,77,8773566
La Femme,La Femme,5VTWoYYizcOY3uIKnxeCGI,exact,59,568124
Laila!,Laila!,7tHTnyrdTNM152slc8aQ3t,exact,55,218367
Landon Barker,Landon Barker,7tWnepocfeqynsYC75hWoF,exact,42,39697
Landon Conrath,Landon Conrath,2PJ06l59DomDd440az768u,exact,49,40376
Latin Mafia,LATIN MAFIA,6XTGKOV9jceQ6f67lnhpbF,exact,75,1413124
Layz,LAYZ,2ozQcs5XxFaj5fvA02zhwo,exact,40,29825
Lekan,Lekan,3Z7dkUrTApDgi6npZfoHVv,exact,37,14532
Levity,Levity,1PbO7aQiVeKbGp8GYWDL9C,exact,54,89662
Luke Combs,Luke Combs,718COspgdWOnwOFpJHRZHS,exact,85,12419826
Magdalena Bay,Magdalena Bay,1oPRcJUkloHaRLYx0olBLJ,exact,68,407759
Mariah The Scientist,Mariah the Scientist,7HO5fOXE4gh3lzZn64tX2E,exact,68,747294
Maribou State,Maribou State,7zrkALJ9ayRjzysp4QYoEg,exact,69,442133
Marina,MARINA,6CwfuxIqcltXDGjfZsMd9A,exact,74,5907696
Mark Ambor,Mark Ambor,11p2E654TTU8e0nZWBR4AL,exact,72,600767
Marlon Hoffstadt,Marlon Hoffstadt,0HHa7ZJZxUQlg5l2mB0N0f,exact,64,144207
Martin Garrix,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,exact,76,15170513
Mary Droppinz,Mary Droppinz,4tPVnr7VB15UA9TRsie3cS,exact,32,11923
Matt Champion,Matt Champion,29Oq9Nv8zLgu3IvX1tIpbm,exact,50,174171
Mau P,Mau P,0w1sbtZVQoK6GzV4A4OkCv,exact,65,149697
Max McNown,Max McNown,340PS4ZcZ4UCBgyrXzEjcp,yes,71,439812
Midnight Generation,Midnight Generation,4CKIGHCZRzNoiNDSaW5eaq,exact,52,80485
MK.GEE,Mk.gee,7tr9pbgNEKtG0GQTKe08Tz,exact,64,349352
Montell Fish,Montell Fish,5nvWOyAkfNgVLKESq4fOj2,exact,75,1920584
Murda Beatz,Murda Beatz,3CbYyyd8wH3RT6t0jwpdzC,exact,57,166707
Naomi Scott,Naomi Scott,2Zi3RrdQqk63Xj0914STkS,exact,62,381561
Newdad,NewDad,1yz8XixOiIJJ9IxjbnfYV6,exact,51,129451
Nimino,nimino,5x0R3zoC09GMiRJomoexLV,exact,65,112971
Nourished By Time,Nourished by Time,7zNkqI6qRr0OJ4XO1Pw29g,exact,44,29643
Ocean Alley,Ocean Alley,18lpwfiys4GtdHWNUu9qQr,exact,64,620023
Old Mervs,Old Mervs,3N8YzKqrEQonvd5RLQ4iYg,exact,52,37224
Ole Ole,Ole Ole,7qHvHD5y98by1dMKGHT1kY,exact,43,95959
Olivia Rodrigo,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,exact,87,44448422
Orion Sun,Orion Sun,2efrqekWSHlvhATD50AG3m,exact,63,392931
Orla Gartland,Orla Gartland,3ajf12ub55b51qcS94d9Co,exact,52,272857
Otoboke Beaver,Otoboke Beaver,0HutkALC7kq2L8b9bnZUkq,exact,37,153023
Overmono,Overmono,01PnN11ovfen6xUOHfNpn3,exact,55,165448
People R Ugly,People R Ugly,1kXY7pco0sC6GEgJW9xxyI,exact,45,39950
Pipsqueak,Pipsqueak,6nmHf9r6CIM990i41UpA7y,exact,,119
Rachel Grae,Rachel Grae,0ekCwZGQUkAISV1h48jlHn,exact,56,212577
Raecola,RaeCola,4ZLYabLbKeMkfAsFNESfpj,exact,11,1523
Ratboys,Ratboys,1SoBNpuC0N4nvaQFENS0qf,exact,40,51689
Ravyn Lenae,Ravyn Lenae,5RTLRtXjbXI2lSXc6jxlAz,exact,70,526707
Rebecca Black,Rebecca Black,3Vl9fyKMIdLMswk8ai3mm9,exact,57,164736
Remi Wolf,Remi Wolf,0NB5HROxc8dDBXpkIi1v3d,exact,66,589808
Role Model,ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,exact,74,581773
Royel Otis,Royel Otis,5b5bt4mZQpJMoCRbiQ7diH,exact,71,421646
RÜFÜS DU SOL,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,exact,75,2010067
Sabrina Carpenter,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,exact,92,20454950
Salute,salute,1np8xozf7ATJZDi9JX8Dx5,exact,52,85499
Sam Austins,Sam Austins,0zmnfFQX8LWVVZyRPHRx1V,exact,60,43732
Sammy Virji,Sammy Virji,1GuqTQbuixFHD6eBkFwVcb,exact,64,166842
Sierra Ferrell,Sierra Ferrell,3oVcF3VdpMuvMvLLyHPT4t,exact,63,355282
Silly Goose,Silly Goose,0GicbfMtwhn3Ch0PdwkADQ,exact,32,29045
Sofia Camara,Sofia Camara,5bdLfpk3TpFVwrlHWmPL55,exact,56,56568
Star Bandz,STAR BANDZ,5qhDQveADDnjIZQ85AtgDM,exact,51,118570
Still Woozy,Still Woozy,4iMO20EPodreIaEl8qW66y,exact,66,1068678
Sunami,Sunami,1pBeRGeBHNPLy95LswDViS,exact,50,149604
T-Pain,T-Pain,3aQeKQSyrW4qWr35idm0cy,exact,79,5360004
Tanner Adell,Tanner Adell,5xKVALj2MSqOHmQhburCM8,exact,54,115564
Tape B,Tape B,59tlsKpLWoLTxjNNS2wdPi,exact,53,72101
Tessla,Tessla,0598NHxkTN8O0JZxTvTfDs,exact,,2
The Blessed Madonna,The Blessed Madonna,4TvhRzxIL1le2PWCeUqxQw,exact,65,114741
The Criticals,The Criticals,6ArhcOX0zzUe8GDzLTgBrK,exact,35,20201
The Dare,The Dare,2mqiqsaX4LzFnUP7PmHGAb,exact,56,143766
The Droptines,The Droptines,5MKl9FP3O6MpQhVx7QRFyc,exact,49,16280
The Marías,The Marías,2sSGPbdZJkaSE2AbcGOACx,exact,82,2320299
The Symposium,The Symposium,2FQgnKHydnhSnRS17BSy28,exact,47,95436
Torren Foot,Torren Foot,7lQOxDl96wmNoqGoW4kgv4,exact,52,25349
Airwolf Paradise,Airwolf Paradise,0c3I7EPZUCCG7khbUwQDjl,exact,38,13499
TWICE,TWICE,7n2Ycct7Beij7Dj7meI4X0,exact,79,21566017
Two Friends,Two Friends,44Ewva5aHOX00EwaX2D2mh,exact,56,236928
"Tyler, The Creator","Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,exact,91,20842767
Vincent Lima,Vincent Lima,7AB7bdCR5saJ0b9C4RuceX,exact,54,60435
Viperactive,Viperactive,7HeSEuZA4D7EtdygBjCbi9,exact,40,13562
Wallows,Wallows,0NIPkIjTV8mB795yEIiPYL,exact,72,2920557
Wasia Project,Wasia Project,7poQNrOwZoUcoqihg4Xex0,exact,56,334905
Wave To Earth,wave to earth,5069JTmv5ZDyPeZaCCXiCg,exact,76,4139053
